consituency,consituency_no,leading_cand,leading_party,trailing_cand,trailing_party,margin,status
Tindwari,232,BRAJESH KUMAR PRAJAPATI,Bharatiya Janata Party,JAGDISH PRASAD PRAJAPATI,Bahujan Samaj Party,37407,Counting In Progress
Tirwa,197,KAILASH SINGH RAJPUT,Bharatiya Janata Party,VIJAY BAHADUR PAL,Samajwadi Party,20762,Counting In Progress
Tulsipur,291,KAILASH NATH SHUKLA,Bharatiya Janata Party,ZEBA RIZWAN,Indian National Congress,18659,Result Declared
Tundla,95,SATYA PAL SINGH BAGHEL,Bharatiya Janata Party,RAKESH BABU,Bahujan Samaj Party,56070,Result Declared
Unchahar,183,MANOJ KUMAR PANDEY,Samajwadi Party,UTKRIST MAURYA,Bharatiya Janata Party,1934,Result Declared
Unnao,165,PANKAJ GUPTA,Bharatiya Janata Party,MANISHA DEEPAK,Samajwadi Party,46072,Result Declared
Utraula,293,RAM PRATAP ALIAS SHASHIKANT VERMA,Bharatiya Janata Party,ARIF ANWAR HASHMI,Samajwadi Party,29174,Result Declared
Varanasi Cantt.,390,SAURABH SRIVASTAVA,Bharatiya Janata Party,ANIL SRIVASTAVA,Indian National Congress,42454,Counting In Progress
Varanasi North,388,RAVINDRA JAISWAL,Bharatiya Janata Party,ABDUL SAMAD ANSARI,Indian National Congress,45300,Counting In Progress
Varanasi South,389,DR. NEELKANTH TIWARI,Bharatiya Janata Party,RAJESH MISHRA,Indian National Congress,13592,Counting In Progress
Vishwanathganj,247,RAKESH KUMAR VERMA ALIAS DR.R.K.VERMA,Apna Dal (Soneylal),SANJAY PANDEY,Indian National Congress,23358,Counting In Progress
Zafrabad,371,DR HARENDRA PRASAD SINGH,Bharatiya Janata Party,SHACHINDRA NATH TRIPATHI,Samajwadi Party,24865,Result Declared
Zahoorabad,377,OM PRAKASH RAJBHAR,Suheldev Bhartiya Samaj Party,KALICHARAN,Bahujan Samaj Party,18081,Counting In Progress
